timestamp,value
2025-09-01T10:00:00,4.93
2025-09-01T10:00:01,4.94
2025-09-01T10:00:02,4.89
2025-09-01T10:00:03,4.92
2025-09-01T10:00:04,4.86
2025-09-01T10:00:05,5.08
2025-09-01T10:00:06,4.86
2025-09-01T10:00:07,4.90
2025-09-01T10:00:08,4.98
2025-09-01T10:00:09,5.02
2025-09-01T10:00:10,4.94
2025-09-01T10:00:11,4.96
2025-09-01T10:00:12,5.02
2025-09-01T10:00:13,4.98
2025-09-01T10:00:14,4.99
2025-09-01T10:00:15,5.44
2025-09-01T10:00:16,5.01
2025-09-01T10:00:18,4.92
2025-09-01T10:00:19,4.97
2025-09-01T10:00:20,4.96
2025-09-01T10:00:21,4.98
2025-09-01T10:00:22,4.87
2025-09-01T10:00:23,4.94
2025-09-01T10:00:25,4.88
2025-09-01T10:00:26,4.92
2025-09-01T10:00:27,4.93
2025-09-01T10:00:28,4.96
2025-09-01T10:00:29,4.98
2025-09-01T10:00:30,4.98
2025-09-01T10:00:31,4.97
2025-09-01T10:00:32,4.89
2025-09-01T10:00:33,4.99
2025-09-01T10:00:35,5.04
2025-09-01T10:00:36,4.98
2025-09-01T10:00:37,4.97
2025-09-01T10:00:38,4.98
2025-09-01T10:00:39,5.06
2025-09-01T10:00:41,5.04
2025-09-01T10:00:42,4.97
2025-09-01T10:00:43,5.13
2025-09-01T10:00:44,5.07
2025-09-01T10:00:45,4.89
2025-09-01T10:00:46,5.02
2025-09-01T10:00:48,5.04
2025-09-01T10:00:49,4.91
2025-09-01T10:00:50,4.95
2025-09-01T10:00:51,4.96
2025-09-01T10:00:52,4.94
2025-09-01T10:00:53,4.91
2025-09-01T10:00:54,5.00
2025-09-01T10:00:55,4.95
2025-09-01T10:00:56,4.91
2025-09-01T10:00:57,4.89
2025-09-01T10:00:58,4.93
2025-09-01T10:00:59,4.93
2025-09-01T10:01:00,4.85
2025-09-01T10:01:01,4.92
2025-09-01T10:01:02,5.01
2025-09-01T10:01:03,4.90
2025-09-01T10:01:04,5.55
2025-09-01T10:01:05,5.01
2025-09-01T10:01:06,5.02
2025-09-01T10:01:07,5.02
2025-09-01T10:01:08,4.99
2025-09-01T10:01:09,4.96
2025-09-01T10:01:10,5.12
2025-09-01T10:01:12,4.89
2025-09-01T10:01:13,5.09
2025-09-01T10:01:14,5.01
2025-09-01T10:01:15,4.98
2025-09-01T10:01:16,4.94
2025-09-01T10:01:17,5.00
2025-09-01T10:01:18,5.07
2025-09-01T10:01:19,4.95
2025-09-01T10:01:20,5.01
2025-09-01T10:01:21,4.89
2025-09-01T10:01:22,4.93
2025-09-01T10:01:23,4.94
2025-09-01T10:01:24,5.01
2025-09-01T10:01:26,5.02
2025-09-01T10:01:27,4.96
2025-09-01T10:01:28,4.96
